"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 09 19:11:30 CST 2023","Mon Jan 09 19:11:30 CST 2023","148","testcases","test_all_case","TestALLAPI","","","测试获取所有门店列表接口",""
"passed","Mon Jan 09 19:11:28 CST 2023","Mon Jan 09 19:11:29 CST 2023","370","testcases","test_all_case","TestALLAPI","","","验证登录成功测试用例",""
"failed","Mon Jan 09 19:11:29 CST 2023","Mon Jan 09 19:11:29 CST 2023","92","testcases","test_all_case","TestALLAPI","","","验证输入错误账号正确密码测试用例",""
"failed","Mon Jan 09 19:11:29 CST 2023","Mon Jan 09 19:11:29 CST 2023","97","testcases","test_all_case","TestALLAPI","","","验证未注册的账号密码登录测试用例",""
"failed","Mon Jan 09 19:11:29 CST 2023","Mon Jan 09 19:11:29 CST 2023","134","testcases","test_all_case","TestALLAPI","","","验证输入错误密码正确账号测试用例",""
"failed","Mon Jan 09 19:11:30 CST 2023","Mon Jan 09 19:11:30 CST 2023","66","testcases","test_all_case","TestALLAPI","","","下架门店",""
"failed","Mon Jan 09 19:11:29 CST 2023","Mon Jan 09 19:11:29 CST 2023","117","testcases","test_all_case","TestALLAPI","","","新增门店",""
"failed","Mon Jan 09 19:11:29 CST 2023","Mon Jan 09 19:11:29 CST 2023","49","testcases","test_all_case","TestALLAPI","","","验证输入密码不能为空测试用例",""
"passed","Mon Jan 09 19:11:29 CST 2023","Mon Jan 09 19:11:29 CST 2023","104","testcases","test_all_case","TestALLAPI","","","新增重复门店",""
"passed","Mon Jan 09 19:11:29 CST 2023","Mon Jan 09 19:11:30 CST 2023","85","testcases","test_all_case","TestALLAPI","","","查询新增门店",""
"failed","Mon Jan 09 19:11:30 CST 2023","Mon Jan 09 19:11:30 CST 2023","63","testcases","test_all_case","TestALLAPI","","","上架门店",""
"failed","Mon Jan 09 19:11:29 CST 2023","Mon Jan 09 19:11:29 CST 2023","52","testcases","test_all_case","TestALLAPI","","","验证输入用户名不能为空测试用例",""
