"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jan 08 13:08:51 CST 2023","Sun Jan 08 13:08:51 CST 2023","51","testcases","test_all_case","TestALLAPI","","","验证输入用户名不能为空测试用例",""
"failed","Sun Jan 08 13:08:51 CST 2023","Sun Jan 08 13:08:51 CST 2023","430","testcases","test_all_case","TestALLAPI","","","验证输入错误密码正确账号测试用例",""
"passed","Sun Jan 08 13:08:50 CST 2023","Sun Jan 08 13:08:51 CST 2023","288","testcases","test_all_case","TestALLAPI","","","验证登录成功测试用例",""
"broken","Sun Jan 08 13:08:51 CST 2023","Sun Jan 08 13:08:51 CST 2023","7","testcases","test_all_case","TestALLAPI","","","测试导入门店列表.xls接口",""
"failed","Sun Jan 08 13:08:51 CST 2023","Sun Jan 08 13:08:51 CST 2023","50","testcases","test_all_case","TestALLAPI","","","验证输入密码不能为空测试用例",""
"failed","Sun Jan 08 13:08:51 CST 2023","Sun Jan 08 13:08:51 CST 2023","99","testcases","test_all_case","TestALLAPI","","","验证输入错误账号正确密码测试用例",""
"failed","Sun Jan 08 13:08:51 CST 2023","Sun Jan 08 13:08:51 CST 2023","107","testcases","test_all_case","TestALLAPI","","","验证未注册的账号密码登录测试用例",""
"passed","Sun Jan 08 13:08:51 CST 2023","Sun Jan 08 13:08:52 CST 2023","145","testcases","test_all_case","TestALLAPI","","","测试获取所有门店列表接口",""
