"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jan 08 13:08:37 CST 2023","Sun Jan 08 13:08:37 CST 2023","56","testcases","test_all_case","TestALLAPI","","","验证输入用户名不能为空测试用例",""
"failed","Sun Jan 08 13:08:36 CST 2023","Sun Jan 08 13:08:36 CST 2023","100","testcases","test_all_case","TestALLAPI","","","验证未注册的账号密码登录测试用例",""
"failed","Sun Jan 08 13:08:37 CST 2023","Sun Jan 08 13:08:37 CST 2023","99","testcases","test_all_case","TestALLAPI","","","验证输入错误账号正确密码测试用例",""
"failed","Sun Jan 08 13:08:37 CST 2023","Sun Jan 08 13:08:37 CST 2023","147","testcases","test_all_case","TestALLAPI","","","验证输入错误密码正确账号测试用例",""
"passed","Sun Jan 08 13:08:36 CST 2023","Sun Jan 08 13:08:36 CST 2023","340","testcases","test_all_case","TestALLAPI","","","验证登录成功测试用例",""
"failed","Sun Jan 08 13:08:37 CST 2023","Sun Jan 08 13:08:37 CST 2023","55","testcases","test_all_case","TestALLAPI","","","验证输入密码不能为空测试用例",""
"passed","Sun Jan 08 13:08:37 CST 2023","Sun Jan 08 13:08:37 CST 2023","151","testcases","test_all_case","TestALLAPI","","","测试获取所有门店列表接口",""
"broken","Sun Jan 08 13:08:37 CST 2023","Sun Jan 08 13:08:37 CST 2023","20","testcases","test_all_case","TestALLAPI","","","测试导入门店列表.xls接口",""
