"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"项目名称：万集接口自动化测试","登录模块","登录接口","1","0","1","0","0"
"项目名称：万集接口自动化测试","店铺模块","导入门店列表.xls接口","0","1","0","0","0"
"项目名称：万集接口自动化测试","店铺模块","获取所有门店列表接口","0","0","1","0","0"
